year,nsi_mean,nsi_otsu,nsi_kmeans_random,nsi_kmeans_pp,nsi_user_defined,ndesi_mean,ndesi_otsu,ndesi_kmeans_random,ndesi_kmeans_pp,ndesi_user_defined
2016,1650598,1606738,1606738,1606738,0,1524162,1222229,1045648,1045648,0
2017,1521218,1313445,1313445,1313445,0,1553242,1331451,1516829,1189296,0
2017,1662104,1564552,1564552,1564552,0,1617432,1562685,1467835,1467835,0
2017,1600677,1431852,1371373,1371373,0,1624125,1583813,1660902,1660902,0
2017,1705770,1755725,1684386,1755725,0,1529270,1206883,1522507,1065620,0
2018,1506641,842585,806193,806193,0,1823810,2021059,2021059,2021059,0
2018,1698548,1740718,1689969,1689969,0,1532776,1354511,936778,936778,0
2019,1457570,1180524,1180524,1180524,0,1800246,1940229,2029187,2029187,0
2019,1721767,1860548,1797224,1860548,0,1612784,1501205,1678953,1678953,0
2019,1674062,1647930,1535125,1535125,0,1537196,1182014,771426,771426,0
2020,1741901,1741903,1741903,1741903,0,1696570,1724618,1775009,1775009,0
2020,1649752,1649752,1705090,1705090,0,1794460,1890266,1890266,1890266,0
2021,1757916,1840945,1766819,1872139,0,1569654,1342451,3348845,1056784,0
2021,1730887,1767179,1767179,1767179,0,1527733,1071315,1634009,1071315,0
2022,1538557,1174615,1099986,1099986,0,1556135,1307035,3346987,1265728,0
2022,1584187,1398459,1494089,1342512,0,1541932,1365687,1262194,1262194,0
2022,1675791,1675791,1576235,1576235,0,1695002,1710820,1801502,1638440,0
2022,1729599,1762712,1762712,1762712,0,1818289,1954121,1954121,1954121,0
2022,1477499,1303928,1303928,1303928,0,1634977,1590225,1590225,1590225,0
2022,1490266,1287905,1287905,1287905,0,1652247,1652247,1735311,1561936,0
2022,1594512,71904,71904,71904,0,1479223,1192915,1451809,1451809,0
2023,1589107,1519050,1519050,1519050,0,1556168,1368672,1368672,1368672,0
2023,1777418,1973475,1973475,1973475,0,1442600,1006534,895560,795978,0
2023,1742443,1895716,1895716,1895716,0,1451146,1086039,815284,815284,0
2024,1707687,1713831,1713831,1713831,0,1600224,1448356,1539472,1539472,0
2024,1622118,1687542,1687542,1687542,0,1843290,2201584,2201584,2201584,0
2024,1526801,1352616,1352616,1352616,0,1534730,1372424,1372424,1372424,0
2024,1708583,1814086,1814086,1814086,0,1561222,1335074,1335074,1335074,0
2024,1721635,1854461,1722329,1990895,0,1516443,1119639,1484129,1484129,0
